Alpha,Load_Intensity,Interarrival_Sec,Mean_Latency,P95_Latency,P99_Latency,Mean_Queue,Max_Queue,Compensation_Virtual_Ticks
0.2,5.0,0.012,23.337911083713966,43.77864238629721,45.483777267033226,332.5475,664,17742
0.3,3.3333333333333335,0.018,20.940911083713964,39.2243423862972,40.73771726703322,296.94625,593,17742
0.4,2.5,0.024,18.543911083713965,34.670042386297204,35.98934912816103,264.46625,535,17742
0.6,1.6666666666666667,0.036,13.749911083713965,25.561442386297202,26.499657267033218,199.59,402,17742
0.8,1.25,0.048,8.955911083713964,16.504775813626875,17.007837267033214,130.94875,247,17742
1.0,1.0,0.06,4.2643319264469435,7.52165726703309,7.666349128161036,61.22,107,17742
1.2,0.8333333333333334,0.072,0.5993413060702973,1.4713258136253342,1.6266572670315373,7.5925,23,17742
1.5,0.6666666666666666,0.09,0.12958269428491,0.43869069436101654,0.5736605815655192,0.9275,7,17742
2.0,0.5,0.12,0.053548083055669625,0.21338731049219026,0.3368372670312821,0.145,3,17742
3.0,0.3333333333333333,0.18,0.026015210455946392,0.09521600869219085,0.2043535447756412,0.0125,1,17742
